CustomerID,frequency,monetary,recency,R,F,M,RFM_Score,Segment
12346.0,12,77556.46,326,2,5,5,255,Loyal Customer
12347.0,8,4921.53,2,5,4,5,545,Champion
12348.0,5,2019.4,75,3,4,4,344,Loyal Customer
12349.0,4,4428.69,19,5,3,5,535,Loyal Customer
12350.0,1,334.4,310,2,1,2,212,Needs Attention
12351.0,1,300.93,375,2,1,2,212,Needs Attention
12352.0,10,2849.84,36,4,5,4,454,Champion
12353.0,2,406.76,204,2,2,2,222,Needs Attention
12354.0,1,1079.4,232,2,1,3,213,Needs Attention
12355.0,2,947.61,214,2,2,3,223,Needs Attention
12356.0,6,6371.73,23,4,4,5,445,Champion
12357.0,3,18287.66,33,4,3,5,435,Loyal Customer
12358.0,5,3887.07,2,5,4,5,545,Champion
12359.0,10,8873.39,58,4,5,5,455,Champion
12360.0,8,4252.89,52,4,4,5,445,Champion
12361.0,4,511.25,287,2,3,2,232,At Risk
12362.0,11,5356.23,3,5,5,5,555,Champion
12363.0,2,552.0,110,3,2,2,322,Promising
12364.0,4,1313.1,8,5,3,4,534,Loyal Customer
12365.0,2,641.38,291,2,2,3,223,Needs Attention
12366.0,1,500.24,634,1,1,2,112,Needs Attention
12367.0,1,168.9,4,5,1,1,511,New Customer
12368.0,1,917.6999999999999,628,1,1,3,113,Needs Attention
12369.0,3,1791.15,413,1,3,4,134,Loyal Customer
12370.0,7,4316.56,51,4,4,5,445,Champion
12371.0,5,4067.38,45,4,4,5,445,Champion
12372.0,3,1298.04,72,3,3,4,334,Loyal Customer
12373.0,3,1127.65,311,2,3,3,233,Loyal Customer
12374.0,4,2989.2200000000003,25,4,3,5,435,Loyal Customer
12375.0,2,457.5,11,5,2,2,522,Promising
12376.0,2,503.15,390,2,2,2,222,Needs Attention
12377.0,4,3426.32,315,2,3,5,235,Loyal Customer
12378.0,2,5416.32,130,3,2,5,325,Promising
12379.0,4,1620.22,82,3,3,4,334,Loyal Customer
12380.0,11,9676.300000000001,22,4,5,5,455,Champion
12381.0,5,1845.31,5,5,4,4,544,Champion
12383.0,5,1850.56,185,3,4,4,344,Loyal Customer
12384.0,2,585.27,29,4,2,2,422,Promising
12385.0,1,1938.4,379,2,1,4,214,Needs Attention
12386.0,2,401.9,338,2,2,2,222,Needs Attention
12387.0,1,143.94,415,1,1,1,111,Lost
12388.0,8,3901.11,16,5,4,5,545,Champion
12389.0,3,1433.33,403,2,3,4,234,Loyal Customer
12390.0,1,549.84,80,3,1,2,312,Needs Attention
12391.0,6,2724.84,22,4,4,4,444,Champion
12392.0,1,234.75000000000003,591,1,1,1,111,Lost
12393.0,6,2399.4500000000003,72,3,4,4,344,Loyal Customer
12394.0,2,1272.48,64,3,2,4,324,Promising
12395.0,15,4721.17,19,5,5,5,555,Champion
12396.0,1,931.43,674,1,1,3,113,Needs Attention
12397.0,2,2409.9,36,4,2,4,424,Promising
12398.0,1,1635.6599999999999,46,4,1,4,414,New Customer
12399.0,7,1962.3,119,3,4,4,344,Loyal Customer
12400.0,1,205.25,414,1,1,1,111,Lost
12401.0,1,84.3,303,2,1,1,211,Needs Attention
12402.0,6,1256.9,323,2,4,4,244,Loyal Customer
12403.0,2,1019.36,50,4,2,3,423,Promising
12404.0,1,63.24,682,1,1,1,111,Lost
12405.0,1,1710.39,149,3,1,4,314,Needs Attention
12406.0,5,6390.36,22,4,4,5,445,Champion
12407.0,5,1708.1200000000001,50,4,4,4,444,Champion
12408.0,8,4340.7699999999995,33,4,4,5,445,Champion
12409.0,7,23419.29,79,3,4,5,345,Loyal Customer
12410.0,3,1013.71,309,2,3,3,233,Loyal Customer
12411.0,1,346.9,410,2,1,2,212,Needs Attention
12412.0,6,2596.93,75,3,4,4,344,Loyal Customer
12413.0,4,999.45,67,3,3,3,333,Loyal Customer
12414.0,6,952.41,217,2,4,3,243,Loyal Customer
12415.0,28,144458.37,24,4,5,5,455,Champion
12416.0,1,202.56,657,1,1,1,111,Lost
12417.0,20,6797.41,3,5,5,5,555,Champion
12418.0,4,2021.2,113,3,3,4,334,Loyal Customer
12419.0,2,503.01,386,2,2,2,222,Needs Attention
12420.0,1,600.39,64,3,1,2,312,Needs Attention
12421.0,6,1098.6,16,5,4,3,543,Loyal Customer
12422.0,17,5231.8,96,3,5,5,355,Loyal Customer
12423.0,10,2622.39,1,5,5,4,554,Champion
12424.0,4,3340.03,163,3,3,5,335,Loyal Customer
12425.0,2,1741.41,78,3,2,4,324,Promising
12426.0,2,1345.21,195,2,2,4,224,Needs Attention
12427.0,3,825.8,22,4,3,3,433,Loyal Customer
12428.0,9,7956.46,26,4,5,5,455,Champion
12429.0,8,6204.41,9,5,4,5,545,Champion
12430.0,1,256.4,43,4,1,1,411,New Customer
12431.0,27,10432.22,36,4,5,5,455,Champion
12432.0,5,5059.32,43,4,4,5,445,Champion
12433.0,10,16794.14,1,5,5,5,555,Champion
12434.0,3,1103.43,85,3,3,3,333,Loyal Customer
12435.0,6,13925.93,80,3,4,5,345,Loyal Customer
12436.0,1,509.01,100,3,1,2,312,Needs Attention
12437.0,39,12683.4,2,5,5,5,555,Champion
12438.0,2,2906.85,14,5,2,4,524,Promising
12439.0,2,1142.88,683,1,2,3,123,Needs Attention
12440.0,2,859.2,462,1,2,3,123,Needs Attention
12441.0,1,173.55,367,2,1,1,211,Needs Attention
12442.0,1,172.06,3,5,1,1,511,New Customer
12443.0,1,485.31,732,1,1,2,112,Needs Attention
12444.0,5,5005.46,21,4,4,5,445,Champion
12445.0,2,434.98,22,4,2,2,422,Promising
12446.0,1,1002.3100000000001,58,4,1,3,413,New Customer
12447.0,1,476.49,243,2,1,2,212,Needs Attention
12448.0,1,449.45,44,4,1,2,412,New Customer
12449.0,6,4835.89,22,4,4,5,445,Champion
12450.0,5,688.2,156,3,4,3,343,Loyal Customer
12451.0,8,12669.88,11,5,4,5,545,Champion
12452.0,2,430.57,17,5,2,2,522,Promising
12453.0,1,707.09,134,3,1,3,313,Needs Attention
12454.0,5,16679.78,56,4,4,5,445,Champion
12455.0,10,5879.95,73,3,5,5,355,Loyal Customer
12456.0,3,3181.04,44,4,3,5,435,Loyal Customer
12457.0,8,2995.91,66,3,4,5,345,Loyal Customer
12458.0,4,1777.49,71,3,3,4,334,Loyal Customer
12459.0,1,454.36,605,1,1,2,112,Needs Attention
12460.0,1,326.65,456,1,1,2,112,Needs Attention
12461.0,2,826.88,94,3,2,3,323,Promising
12462.0,2,1189.59,19,5,2,3,523,Promising
12463.0,4,1344.78,53,4,3,4,434,Loyal Customer
12464.0,8,1212.05,10,5,4,3,543,Loyal Customer
12465.0,2,742.1899999999999,17,5,2,3,523,Promising
12466.0,1,56.73,682,1,1,1,111,Lost
12467.0,1,132.8,423,1,1,1,111,Lost
12468.0,5,3670.74,188,3,4,5,345,Loyal Customer
12469.0,2,3070.54,523,1,2,5,125,Needs Attention
12470.0,1,211.95,690,1,1,1,111,Lost
12471.0,79,39918.19,2,5,5,5,555,Champion
12472.0,19,16249.289999999999,32,4,5,5,455,Champion
12473.0,5,3928.0499999999997,29,4,4,5,445,Champion
12474.0,31,12372.75,17,5,5,5,555,Champion
12475.0,2,1149.64,54,4,2,3,423,Promising
12476.0,23,14083.91,16,5,5,5,555,Champion
12477.0,9,20276.37,23,4,5,5,455,Champion
12478.0,1,680.99,4,5,1,3,513,New Customer
12479.0,1,527.2,11,5,1,2,512,New Customer
12480.0,7,5464.85,28,4,4,5,445,Champion
12481.0,15,12185.51,23,4,5,5,455,Champion
12482.0,29,23691.4,576,1,5,5,155,Loyal Customer
12483.0,19,5097.18,17,5,5,5,555,Champion
12484.0,12,6354.1,33,4,5,5,455,Champion
12485.0,1,708.1,529,1,1,3,113,Needs Attention
12486.0,1,1037.28,432,1,1,3,113,Needs Attention
12487.0,1,285.29999999999995,731,1,1,1,111,Lost
12488.0,3,1298.66,10,5,3,4,534,Loyal Customer
12489.0,1,334.93,336,2,1,2,212,Needs Attention
12490.0,21,9823.64,5,5,5,5,555,Champion
12491.0,1,460.40000000000003,39,4,1,2,412,New Customer
12492.0,3,715.21,63,3,3,3,333,Loyal Customer
12493.0,2,433.74,166,3,2,2,322,Promising
12494.0,9,1815.27,16,5,5,4,554,Champion
12495.0,1,357.4,641,1,1,2,112,Needs Attention
12496.0,2,45.34,620,1,2,1,121,Needs Attention
12497.0,3,6248.5,82,3,3,5,335,Loyal Customer
12498.0,3,403.70000000000005,21,4,3,2,432,Needs Attention
12499.0,1,393.72,560,1,1,2,112,Needs Attention
12500.0,19,5955.21,23,4,5,5,455,Champion
12501.0,1,2169.39,337,2,1,4,214,Needs Attention
12502.0,5,3723.87,96,3,4,5,345,Loyal Customer
12503.0,1,1126.0,584,1,1,3,113,Needs Attention
12504.0,4,779.05,18,5,3,3,533,Loyal Customer
12505.0,1,955.2,409,2,1,3,213,Needs Attention
12506.0,1,73.5,233,2,1,1,211,Needs Attention
12507.0,4,1844.06,134,3,3,4,334,Loyal Customer
12508.0,2,397.88,26,4,2,2,422,Promising
12509.0,1,176.5,284,2,1,1,211,Needs Attention
12510.0,9,5178.02,143,3,5,5,355,Loyal Customer
12511.0,1,3084.02,429,1,1,5,115,Needs Attention
12512.0,2,132.18,66,3,2,1,321,Promising
12513.0,1,612.29,113,3,1,3,313,Needs Attention
12514.0,2,1597.76,267,2,2,4,224,Needs Attention
12515.0,1,383.7,353,2,1,2,212,Needs Attention
12516.0,4,2648.62,78,3,3,4,334,Loyal Customer
12517.0,5,2481.6,28,4,4,4,444,Champion
12518.0,5,2056.89,1,5,4,4,544,Champion
12519.0,2,716.54,64,3,2,3,323,Promising
